time,workday_2020-11-10_知春路_EW_secid9,workday_2020-11-10_知春路_WE_secid1,workday_2020-11-10_中关村大街_NS_secid5,workday_2020-11-10_中关村大街_SN_secid6,workday_2020-11-10_中关村大街_NS_secid6,workday_2020-11-10_中关村大街_SN_secid5,weekend_2020-11-14_知春路_EW_secid9,weekend_2020-11-14_知春路_WE_secid1,weekend_2020-11-14_中关村大街_NS_secid5,weekend_2020-11-14_中关村大街_SN_secid6,weekend_2020-11-14_中关村大街_NS_secid6,weekend_2020-11-14_中关村大街_SN_secid5
00:00,33,49,47,34,33,45,30,28,32,34,28,29
00:01,33,45,47,34,33,45,30,36,36,43,38,50
00:02,36,40,47,31,43,45,31,45,29,43,28,50
00:03,32,32,47,31,43,45,49,40,29,52,47,50
00:04,33,32,47,31,43,45,37,25,34,52,47,45
00:05,39,32,44,40,43,42,30,38,29,42,47,27
00:06,39,32,45,40,43,42,34,40,29,34,28,50
00:07,39,32,47,40,43,42,49,40,31,36,28,32
00:08,39,32,47,40,43,46,49,33,31,36,28,30
00:09,39,40,35,40,40,39,49,33,33,36,28,52
00:10,39,26,36,40,36,39,49,37,33,36,28,28
00:11,39,38,44,40,68,39,49,30,30,36,32,40
00:12,39,35,37,40,39,39,49,40,35,28,31,40
00:13,39,28,37,40,41,27,49,40,35,26,39,40
00:14,39,40,43,40,41,27,21,89,36,36,45,40
00:15,36,49,39,34,32,39,33,89,35,34,38,40
00:16,36,42,35,34,38,29,33,89,34,34,33,29
00:17,30,42,35,36,38,49,37,28,34,31,36,29
00:18,30,42,34,36,35,41,37,40,28,43,43,29
00:19,30,42,34,36,47,41,37,38,47,34,39,49
00:20,30,42,34,36,47,41,26,38,31,36,36,43
00:21,35,38,34,36,43,49,26,40,39,43,58,33
00:22,35,33,33,36,40,39,26,30,42,36,79,43
00:23,35,49,43,36,25,39,26,25,47,36,47,37
00:24,35,24,34,36,39,39,26,40,47,36,38,53
00:25,35,24,44,36,54,39,26,33,47,47,38,44
00:26,35,42,45,36,43,39,26,29,39,47,26,44
00:27,35,32,35,36,39,39,26,29,61,47,35,46
00:28,35,32,29,36,29,32,49,30,61,47,26,45
00:29,25,25,29,36,43,49,49,26,45,47,26,28
00:30,25,24,29,36,28,43,49,24,31,28,33,28
00:31,25,24,29,36,28,40,49,32,31,28,38,28
00:32,40,39,35,43,28,50,49,31,47,28,26,29
00:33,23,38,29,31,33,38,34,31,47,28,36,27
00:34,23,27,47,31,28,47,41,31,65,28,36,32
00:35,37,37,47,31,28,47,21,31,33,28,35,32
00:36,37,20,29,31,28,47,21,42,33,28,59,32
00:37,37,32,28,31,29,45,21,42,44,28,59,32
00:38,21,37,45,31,26,52,22,42,65,28,32,32
00:39,21,49,27,29,38,35,36,42,65,44,28,27
00:40,21,49,45,29,38,46,30,51,43,44,31,27
00:41,21,49,45,43,38,34,30,51,35,29,31,31
00:42,21,49,45,39,38,38,32,40,30,43,43,39
00:43,21,50,30,39,38,48,36,47,30,34,38,39
00:44,21,50,33,39,33,48,36,34,43,34,28,39
00:45,21,50,33,39,47,48,39,49,29,34,26,45
00:46,21,50,33,39,47,43,26,34,29,34,26,45
00:47,21,50,33,39,47,27,26,87,29,34,29,45
00:48,21,50,29,39,47,27,26,87,29,34,29,45
00:49,21,50,29,39,47,45,26,87,29,34,29,45
00:50,21,50,33,39,28,45,26,87,32,34,38,45
00:51,21,50,36,39,39,45,26,38,39,34,38,45
00:52,21,30,36,39,39,43,26,41,33,34,38,80
00:53,21,33,36,59,39,52,26,41,45,43,43,43
00:54,44,24,36,43,39,52,26,41,28,43,58,42
00:55,44,24,36,43,39,52,26,51,29,43,49,42
00:56,44,24,36,43,39,52,26,40,33,43,39,29
00:57,44,24,25,43,39,52,26,38,32,42,44,43
00:58,44,24,28,43,39,52,26,38,33,31,44,43
00:59,44,24,59,43,39,52,26,33,29,31,31,43
01:00,44,24,59,43,39,52,26,33,29,31,31,43
01:01,44,24,59,43,39,52,24,33,29,29,31,43
01:02,44,41,40,43,39,52,24,23,29,29,31,40
01:03,44,26,40,43,43,52,24,35,25,29,31,40
01:04,44,39,40,43,43,52,24,38,26,29,28,40
01:05,39,39,29,43,43,52,24,24,47,29,38,40
01:06,39,39,65,43,37,52,24,48,47,29,38,40
01:07,30,39,50,43,37,52,37,36,47,29,38,40
01:08,30,39,47,43,46,52,37,36,45,29,51,40
01:09,30,39,33,34,46,52,37,36,45,36,36,40
01:10,30,24,47,33,46,37,37,20,45,36,36,50
01:11,30,24,47,42,38,37,37,20,45,36,36,35
01:12,30,24,43,42,38,37,36,20,45,36,36,29
01:13,30,24,43,42,38,37,37,20,41,28,35,30
01:14,30,24,29,42,28,37,37,41,29,28,28,39
01:15,44,28,29,42,28,37,37,48,44,28,28,27
01:16,44,28,29,42,28,37,37,48,31,26,28,25
01:17,44,28,80,42,72,37,37,48,33,26,31,29
01:18,44,28,28,42,72,37,37,35,45,26,31,47
01:19,44,28,29,42,28,37,37,34,45,43,32,43
01:20,44,28,44,42,31,37,37,20,22,42,36,30
01:21,44,27,44,44,31,35,37,20,22,42,36,51
01:22,44,25,29,44,32,35,37,20,37,26,31,26
01:23,44,40,65,44,39,35,37,20,37,26,38,28
01:24,44,40,65,44,39,35,37,20,37,26,38,28
01:25,44,40,65,44,39,35,37,20,32,31,31,31
01:26,44,35,45,44,39,73,37,20,32,31,41,31
01:27,44,35,44,44,43,50,37,20,27,31,41,31
01:28,44,35,65,39,43,39,37,80,50,31,46,104
01:29,49,35,40,43,43,43,37,56,44,31,117,73
01:30,49,35,42,43,43,27,37,32,31,31,43,35
01:31,49,45,34,43,38,31,52,31,31,36,47,35
01:32,39,45,34,34,49,31,30,29,30,52,47,81
01:33,37,45,34,52,43,31,30,45,33,52,25,81
01:34,37,20,28,52,39,31,30,31,39,52,43,81
01:35,37,45,65,52,45,43,30,41,31,43,29,28
01:36,37,40,65,31,45,30,30,25,32,59,35,51
01:37,37,29,65,42,45,45,37,40,32,59,35,51
01:38,36,29,44,42,47,46,49,40,32,59,35,47
01:39,36,29,44,42,43,28,44,31,28,59,35,40
01:40,36,29,34,43,30,26,39,30,28,59,37,40
01:41,36,29,34,43,26,26,25,31,28,59,33,40
01:42,36,29,33,43,33,26,30,38,32,59,26,40
01:43,36,29,33,43,26,26,30,38,69,59,62,40
01:44,36,29,44,43,26,26,30,38,69,59,62,40
01:45,36,29,45,43,32,26,30,38,69,59,62,40
01:46,36,29,45,43,26,26,30,21,69,59,62,40
01:47,36,29,31,43,26,26,30,35,45,44,62,40
01:48,36,29,31,43,26,26,32,35,30,44,28,45
01:49,36,29,29,43,28,26,36,32,34,44,41,28
01:50,36,29,29,43,28,26,36,24,34,44,43,47
01:51,36,29,34,43,33,26,36,24,34,34,43,41
01:52,36,29,34,43,33,26,36,41,34,43,43,40
01:53,36,29,34,43,33,26,36,41,34,43,43,40
01:54,36,29,34,52,33,48,36,39,34,43,43,40
01:55,36,29,34,52,33,48,36,37,34,43,43,40
01:56,36,29,44,52,33,43,36,38,34,43,43,40
01:57,36,32,47,67,42,56,36,38,34,43,43,40
01:58,36,32,47,67,38,56,36,49,45,43,43,40
01:59,36,32,47,67,38,56,36,49,45,43,43,40
02:00,29,32,39,36,40,39,36,49,36,43,48,40
02:01,23,32,39,31,55,39,36,29,32,43,48,40
02:02,37,32,39,31,55,39,36,30,32,43,48,32
02:03,37,32,39,31,55,39,36,31,32,43,42,32
02:04,37,36,39,31,55,39,36,38,45,43,36,32
02:05,37,35,39,31,55,39,36,49,45,47,36,43
02:06,37,31,44,31,55,39,36,49,32,47,33,43
02:07,37,31,42,31,55,43,36,49,32,47,33,43
02:08,28,24,42,36,23,29,24,49,29,47,31,43
02:09,28,29,42,43,43,52,31,29,29,47,29,43
02:10,28,29,42,44,43,44,31,31,29,47,29,43
02:11,28,29,42,44,43,44,30,23,29,47,28,43
02:12,28,29,42,44,43,44,30,39,29,47,28,43
02:13,28,29,26,44,43,40,30,39,29,47,28,43
02:14,28,29,47,43,42,39,30,39,45,47,43,43
02:15,28,29,47,52,35,52,30,39,45,47,38,43
02:16,28,29,47,52,35,52,30,39,25,47,44,43
02:17,28,29,35,52,35,52,30,39,45,47,42,45
02:18,28,26,45,52,35,52,30,40,65,47,43,39
02:19,28,48,32,52,35,52,30,29,44,47,43,49
02:20,28,40,65,52,35,52,30,38,32,26,33,53
02:21,28,32,65,52,49,52,30,38,32,26,43,49
02:22,28,32,44,52,49,52,30,38,32,26,28,81
02:23,28,49,47,52,43,52,30,29,32,36,28,54
02:24,28,49,39,52,32,52,30,49,32,59,28,50
02:25,28,49,39,52,32,52,30,24,32,59,28,50
02:26,28,49,39,52,32,52,30,24,32,31,28,43
02:27,28,49,39,52,38,52,30,24,32,36,28,43
02:28,28,43,39,52,38,34,30,31,32,36,28,43
02:29,28,38,39,52,43,34,33,38,32,36,28,43
02:30,28,38,39,52,43,34,37,49,32,36,42,43
02:31,37,38,39,52,43,34,21,49,28,36,55,43
02:32,37,38,39,52,43,34,21,49,35,36,46,43
02:33,37,38,39,52,43,34,21,49,35,36,38,43
02:34,39,38,39,52,43,34,21,49,35,36,38,43
02:35,30,38,39,52,28,34,21,49,32,36,33,43
02:36,30,40,39,52,43,34,21,49,74,36,72,49
02:37,30,26,39,52,26,34,21,49,74,36,72,56
02:38,30,38,39,52,26,34,21,40,74,36,72,52
02:39,30,49,29,52,26,34,21,40,74,36,72,43
02:40,30,28,26,52,26,34,21,40,74,36,72,43
02:41,30,31,47,52,41,37,21,40,74,36,72,43
02:42,30,20,47,44,41,37,21,40,74,36,72,43
