time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1,盘古大观_北辰西路_NS_6,盘古大观_北辰西路_SN_3
2020-01-01,31,27,30,23,23,27,38,37,49,50,34,38,41,35
2020-01-02,27,29,28,27,14,24,34,27,11,61,25,21,29,37
2020-01-03,29,27,39,20,16,19,38,22,15,54,29,23,23,30
2020-01-04,28,26,36,40,23,28,36,36,49,55,36,36,39,32
2020-01-05,30,28,30,27,25,24,39,37,58,53,37,41,41,34
2020-01-06,37,31,28,25,17,17,36,29,23,52,26,19,33,39
2020-01-07,28,30,31,32,20,16,37,32,17,60,28,18,16,38
2020-01-08,32,32,27,31,16,17,38,29,11,52,20,17,35,38
2020-01-09,32,29,28,34,22,17,37,35,9,52,27,20,30,41
2020-01-10,28,23,28,39,14,13,38,25,6,59,23,20,33,36
2020-01-11,23,26,35,33,24,21,34,24,23,54,32,32,35,39
2020-01-12,25,30,31,25,20,28,36,36,53,57,37,39,39,38
2020-01-13,29,29,28,27,17,14,39,15,11,56,32,21,26,35
2020-01-14,26,31,35,20,16,17,38,13,17,55,30,18,25,34
2020-01-15,29,31,28,28,15,16,37,14,8,57,29,22,33,36
2020-01-16,28,28,27,30,17,14,31,22,10,58,33,21,29,35
2020-01-17,31,25,31,26,21,20,35,22,11,58,36,23,29,36
2020-01-18,23,29,35,33,22,21,32,36,38,58,36,35,45,38
2020-01-19,21,26,31,29,18,17,37,19,6,63,28,20,28,36
2020-01-20,28,28,30,35,18,16,36,20,13,51,35,25,36,35
2020-01-21,24,27,32,30,23,17,37,21,9,54,40,32,34,35
2020-01-22,30,27,32,29,25,18,37,26,10,52,36,32,47,34
2020-01-23,30,30,31,35,22,21,38,30,45,53,39,43,42,35
2020-01-24,38,35,40,49,20,26,40,37,56,58,39,45,37,37
2020-01-25,30,35,36,29,24,33,39,39,53,52,34,47,54,60
2020-01-26,40,39,40,47,24,26,37,38,55,45,39,48,47,35
2020-01-27,51,18,32,38,23,22,31,38,56,61,39,55,39,23
2020-01-28,29,74,29,41,22,15,38,29,58,56,42,28,49,26
2020-01-29,43,20,47,20,22,25,37,36,61,60,49,49,46,28
2020-01-30,18,14,28,20,24,35,39,39,58,68,47,37,49,37
2020-01-31,22,29,36,42,25,29,39,42,59,46,42,41,39,37
2020-02-01,32,36,37,28,27,14,39,40,46,64,40,35,65,47
2020-02-02,45,27,39,44,25,22,55,49,56,58,44,37,25,34
2020-02-03,50,45,38,36,22,31,31,42,54,62,46,48,39,32
2020-02-04,30,35,37,16,29,37,33,37,54,49,44,42,43,34
2020-02-05,34,31,30,32,21,27,32,19,52,50,45,43,43,50
2020-02-06,25,15,32,19,24,27,33,23,29,42,30,28,31,27
2020-02-07,34,25,33,14,9,25,41,25,56,60,35,41,36,32
2020-02-08,39,27,45,23,30,33,41,38,55,51,34,40,47,23
2020-02-09,39,14,42,23,22,18,43,36,58,68,40,42,45,27
2020-02-10,22,30,32,25,24,28,29,40,31,55,36,36,37,40
2020-02-11,22,30,32,25,24,28,29,40,31,55,36,36,37,40
2020-02-12,30,31,38,31,16,26,34,42,51,52,37,45,45,37
2020-02-13,24,36,16,32,22,29,36,31,46,47,35,40,45,35
2020-02-14,33,40,31,18,26,26,37,35,14,49,40,42,40,30
2020-02-15,17,37,27,27,36,39,24,43,67,63,49,44,39,43
2020-02-16,18,44,29,53,26,31,35,34,52,66,35,34,44,41
2020-02-17,31,27,35,35,19,22,28,38,15,62,35,28,40,32
2020-02-18,32,32,30,31,30,19,41,39,21,53,39,40,50,44
2020-02-19,28,41,33,45,32,36,37,35,39,61,37,42,45,47
2020-02-20,32,40,34,27,23,19,34,31,34,46,34,45,41,56
2020-02-21,35,37,27,38,32,33,34,41,43,55,34,41,38,25
2020-02-22,42,35,38,26,22,25,36,36,58,68,43,45,54,39
2020-02-23,44,16,33,29,35,37,28,36,57,53,35,41,37,44
2020-02-24,44,16,33,29,35,37,28,36,57,53,35,41,37,44
2020-02-25,21,30,32,38,33,30,31,44,38,53,32,35,39,32
2020-02-26,37,44,34,32,35,26,35,37,46,58,33,38,38,37
2020-02-27,29,31,31,34,16,26,32,33,36,53,35,43,40,37
2020-02-28,35,30,34,23,28,22,32,38,28,63,31,38,37,41
2020-02-29,32,36,31,23,30,33,25,32,53,64,50,35,30,29
2020-03-01,38,16,38,26,31,25,33,32,60,62,44,44,39,44
2020-03-02,32,27,32,29,23,20,37,37,22,51,29,25,38,40
2020-03-03,25,30,38,21,28,29,46,40,39,50,26,30,32,28
2020-03-04,28,26,32,25,16,19,38,33,37,53,27,35,36,39
2020-03-05,34,26,39,19,23,29,36,46,40,55,32,29,33,36
