time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,31,28,29,31,20,21,36,31,34,55,31,28
2020-01-08,27,29,30,31,18,17,36,26,20,55,28,24
2020-01-15,26,28,31,30,19,17,35,24,16,55,33,25
2020-01-22,34,33,33,36,22,23,36,35,47,55,38,43
2020-01-29,33,31,35,30,25,29,36,39,56,55,42,41
2020-02-05,28,24,35,22,22,26,36,33,45,54,37,40
2020-02-12,28,33,31,33,24,27,33,37,39,57,38,38
2020-02-19,34,31,32,31,26,29,33,37,47,57,35,40
2020-02-26,30,30,33,28,28,26,33,34,40,56,34,35
2020-03-04,33,32,36,27,22,26,36,37,37,55,32,34
2020-03-11,34,33,30,32,25,21,36,37,33,58,31,28
2020-03-18,32,32,30,34,24,31,38,31,31,52,30,29
2020-03-25,27,31,30,31,23,22,35,31,29,52,28,28
2020-04-01,31,34,31,34,22,24,36,32,31,52,28,30
2020-04-08,29,29,32,27,24,22,36,34,30,57,30,31
2020-04-15,32,32,28,31,23,18,35,32,23,56,28,25
2020-04-22,30,30,28,32,20,18,35,33,16,52,21,25
2020-04-29,32,30,31,30,22,22,37,34,41,54,29,34
2020-05-06,30,29,29,37,21,16,36,26,15,55,21,20
2020-05-13,30,29,29,33,21,19,35,27,20,54,23,25
2020-05-20,30,30,31,34,21,19,35,30,23,55,24,26
2020-05-27,29,28,30,36,20,22,35,32,24,54,27,25
2020-06-03,30,30,30,32,20,20,36,31,23,52,26,25
2020-06-10,28,30,32,36,20,21,36,30,26,55,25,24
2020-06-17,30,31,34,31,24,23,37,34,33,51,30,25
2020-06-24,28,33,32,30,30,28,35,37,51,56,35,35
2020-07-01,32,31,35,31,25,20,35,31,30,57,28,27
2020-07-08,31,30,31,29,20,21,36,30,27,54,28,26
2020-07-15,30,29,32,31,20,18,37,32,23,55,28,26
2020-07-22,29,32,34,29,18,17,36,28,23,55,30,25
2020-07-29,30,29,33,33,17,17,37,29,24,54,31,26
2020-08-05,33,30,32,29,19,16,37,31,25,51,31,26
2020-08-12,32,26,35,33,18,26,36,28,22,54,32,33
2020-08-19,31,29,31,29,21,18,33,31,20,56,26,24
2020-08-26,31,28,38,29,17,22,31,26,24,58,20,23
2020-09-02,30,31,32,30,17,17,36,29,16,56,25,22
2020-09-09,26,27,32,33,19,17,35,30,25,46,27,24
2020-09-16,27,28,33,31,24,23,35,23,24,55,27,27
2020-09-23,29,29,31,29,16,18,34,25,14,51,24,22
2020-09-30,26,30,33,33,22,21,31,14,12,51,32,22
