time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,39,25,31,47,20,24,37,36,56,41,34,37
2020-01-02,43,26,31,35,17,17,31,31,38,58,36,18
2020-01-03,25,28,31,29,23,20,35,24,51,51,28,24
2020-01-04,26,25,34,28,23,19,35,33,39,64,32,37
2020-01-05,33,28,15,64,18,30,33,33,55,58,37,32
2020-01-06,22,36,31,20,26,26,35,31,46,51,38,29
2020-01-07,33,28,30,23,14,19,35,32,44,52,35,23
2020-01-08,29,35,24,22,16,12,33,28,39,58,28,19
2020-01-09,26,27,28,36,19,16,38,26,33,56,25,19
2020-01-10,21,26,32,37,17,14,38,35,11,54,23,27
2020-01-11,32,27,25,21,16,28,34,25,23,63,23,27
2020-01-12,30,28,28,30,28,19,35,38,49,54,36,40
2020-01-13,24,35,33,26,11,13,35,27,39,48,35,21
2020-01-14,27,26,30,31,14,13,35,22,33,63,37,24
2020-01-15,33,29,32,38,19,14,38,22,13,58,23,20
2020-01-16,30,30,40,37,19,17,35,33,35,59,35,23
2020-01-17,26,24,28,30,16,10,38,32,42,57,35,23
2020-01-18,31,34,37,24,24,25,33,32,27,56,35,35
2020-01-19,26,22,31,29,23,13,36,27,17,48,39,25
2020-01-20,35,28,30,29,21,15,35,38,44,51,33,26
2020-01-21,35,31,33,51,17,20,32,33,11,61,33,31
2020-01-22,27,37,29,37,24,24,35,34,14,57,32,44
2020-01-23,33,39,33,33,24,17,38,34,42,56,39,44
2020-01-24,33,20,33,58,16,13,35,35,57,49,36,50
2020-01-25,30,39,45,26,21,27,44,37,57,77,45,35
2020-01-26,33,38,23,26,15,23,41,36,59,61,37,45
2020-01-27,36,28,41,20,28,41,39,43,59,55,40,57
2020-01-28,22,25,21,52,54,20,35,40,62,60,47,40
2020-01-29,27,36,34,31,8,20,41,41,65,63,36,52
2020-01-30,18,54,27,28,40,38,35,43,57,54,30,40
2020-01-31,40,36,31,50,24,34,41,36,52,52,34,44
2020-02-01,35,32,34,10,29,13,39,35,59,59,37,39
2020-02-02,36,24,32,43,30,45,33,43,40,45,38,38
2020-02-03,27,31,42,42,37,26,37,28,62,57,46,39
2020-02-04,18,24,48,29,29,16,36,39,61,61,38,44
2020-02-05,22,28,47,26,22,59,39,45,53,51,39,37
2020-02-06,19,18,20,53,13,25,31,34,31,52,45,33
2020-02-07,27,27,25,20,23,19,42,43,53,54,34,39
2020-02-08,30,32,67,21,19,51,39,41,56,50,48,43
2020-02-09,30,7,36,37,29,24,36,26,44,59,59,42
