time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1,盘古大观_北辰西路_NS_6,盘古大观_北辰西路_SN_3
2020/1/1,31,27,28,28,23,24,36,38,47,46,33,37,41,34
2020/1/8,33,31,31,31,14,16,37,28,11,52,22,17,35,37
2020/1/15,28,27,28,22,16,13,36,16,8,58,31,23,33,38
2020/1/22,32,29,32,25,25,14,37,25,9,54,37,31,47,33
2020/1/29,45,20,47,21,24,33,36,34,64,61,50,46,46,24
2020/2/5,37,32,30,32,19,29,35,14,51,48,50,41,44,46
2020/2/12,29,28,38,30,17,25,35,44,52,51,39,45,45,36
2020/2/19,31,41,30,47,30,43,36,30,40,65,37,41,45,46
2020/2/26,36,46,35,33,31,26,34,36,46,59,33,40,37,38
2020/3/4,28,26,30,28,18,19,37,35,37,53,28,35,37,42
2020/3/11,33,34,32,33,28,18,32,45,10,54,33,26,35,41
2020/3/18,34,32,33,36,25,19,31,36,23,48,26,29,35,38
2020/3/25,29,26,38,21,25,21,39,26,23,50,26,22,37,34
2020/4/1,22,30,27,11,20,16,23,26,11,28,23,21,17,27
2020/4/8,27,29,25,28,20,22,44,34,10,57,21,21,28,38
2020/4/15,33,37,29,31,17,16,35,35,17,60,25,18,21,37
2020/4/22,28,24,26,33,24,15,35,40,7,53,24,20,15,36
2020/4/29,34,27,34,34,16,18,33,29,6,58,23,25,20,33
2020/5/6,26,25,33,38,15,20,30,17,7,55,14,17,21,34
2020/5/13,27,34,34,27,22,21,37,15,5,56,14,22,28,32
2020/5/20,28,31,28,29,18,19,39,21,6,53,22,19,23,38
2020/5/27,28,25,32,42,18,15,33,35,6,60,23,16,23,31
2020/6/3,29,32,32,33,22,18,37,31,5,60,23,17,36,36
2020/6/10,46,34,29,39,18,18,37,31,5,55,23,20,25,33
2020/6/17,29,25,34,39,25,20,38,31,53,51,31,20,32,28
2020/6/24,33,33,39,30,22,28,26,30,37,50,30,29,37,37
2020/7/1,30,26,27,35,20,16,39,35,36,60,26,27,33,40
2020/7/8,35,33,40,26,20,21,39,27,19,59,30,23,38,33
2020/7/15,33,30,36,31,19,15,43,33,7,54,31,24,26,35
2020/7/22,31,33,37,32,18,19,38,16,9,41,33,23,23,39
2020/7/29,32,27,39,35,15,16,39,16,10,47,32,24,25,32
2020/8/5,28,28,38,29,15,22,39,30,16,51,32,21,27,31
2020/8/12,32,29,38,32,15,22,38,21,6,50,29,28,40,40
2020/8/19,31,33,28,17,18,17,35,18,10,59,20,24,23,39
2020/8/26,30,37,32,30,17,18,37,21,14,67,26,19,34,29
2020/9/2,38,32,33,20,15,29,37,19,8,59,26,18,28,38
2020/9/9,29,31,34,29,22,17,42,23,5,48,16,17,36,40
2020/9/16,31,34,34,29,44,18,33,27,8,49,16,26,25,37
2020/9/23,24,25,26,15,16,12,35,17,7,41,19,21,14,36
2020/9/30,29,26,30,44,23,20,37,13,11,46,37,23,31,33
