time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1,盘古大观_北辰西路_NS_6,盘古大观_北辰西路_SN_3
2020/1/1,30,27,33,27,20,22,36,31,30,54,30,28,32,33
2020/1/8,28,28,30,30,18,18,36,25,18,55,29,23,30,35
2020/1/15,27,27,30,29,19,16,34,21,12,56,34,24,33,36
2020/1/22,36,40,35,38,22,23,36,34,49,56,39,42,46,33
2020/1/29,36,28,37,30,26,28,39,41,55,60,44,41,44,35
2020/2/5,31,24,35,23,23,28,35,30,44,56,35,35,40,33
2020/2/12,26,35,29,32,25,27,33,36,38,55,40,38,42,37
2020/2/19,34,30,33,32,29,31,32,34,45,56,35,42,41,41
2020/2/26,31,32,34,29,26,25,34,35,39,57,35,36,35,36
2020/3/4,32,29,36,26,20,25,40,37,38,58,30,33,34,33
2020/3/11,35,31,27,34,26,23,36,36,29,56,31,28,33,34
2020/3/18,35,30,29,32,19,34,37,33,25,49,33,28,34,29
2020/3/25,28,30,32,32,23,22,39,33,27,48,28,27,31,39
2020/4/1,29,34,32,35,20,23,35,31,29,48,29,30,33,34
2020/4/8,31,29,36,25,22,19,33,37,29,57,29,30,28,35
2020/4/15,32,31,29,32,25,18,33,32,21,56,27,25,29,37
2020/4/22,28,29,27,32,18,18,36,36,14,52,20,24,24,35
2020/4/29,32,30,32,34,21,21,35,33,39,56,30,36,35,32
2020/5/6,28,28,32,43,20,17,35,25,14,56,23,20,25,36
2020/5/13,33,29,31,33,20,19,35,26,20,54,22,25,29,33
2020/5/20,30,31,32,36,21,17,35,27,21,54,24,28,28,39
2020/5/27,31,28,31,36,19,21,35,29,21,54,27,25,29,35
2020/6/3,31,34,29,35,19,19,38,28,19,55,27,26,34,38
2020/6/10,31,27,32,38,20,21,35,27,24,55,26,24,28,34
2020/6/17,29,29,31,27,24,21,37,34,37,52,32,24,34,33
2020/6/24,23,36,33,36,34,31,28,36,52,52,38,32,44,33
2020/7/1,30,37,33,27,26,19,37,30,29,56,28,31,29,40
2020/7/8,32,30,31,29,20,23,38,28,23,55,28,26,37,34
2020/7/15,29,29,35,32,20,19,38,31,21,54,29,26,35,32
2020/7/22,27,32,36,30,17,16,35,21,23,53,29,25,27,37
2020/7/29,30,29,35,36,17,17,37,24,22,55,32,27,26,36
2020/8/5,35,31,33,29,18,16,37,29,23,51,33,26,29,34
2020/8/12,34,31,36,33,16,17,38,20,16,54,29,23,32,35
2020/8/19,30,31,32,27,17,19,35,25,21,57,27,26,32,36
2020/8/26,29,31,38,31,19,18,36,20,28,60,25,25,39,35
2020/9/2,30,32,36,29,19,19,37,27,14,55,25,22,35,38
2020/9/9,25,27,34,34,19,19,35,31,23,46,28,23,31,31
2020/9/16,26,31,35,33,27,27,34,19,21,53,26,26,30,34
2020/9/23,32,29,32,31,17,18,33,23,13,51,22,22,26,35
2020/9/30,29,26,30,44,23,20,37,13,11,46,37,23,31,33
