lonlat,2019-04-02_07-30,2019-04-02_07-31,2019-04-02_07-32,2019-04-02_07-33,2019-04-02_07-34,2019-04-02_07-35,2019-04-02_07-36,2019-04-02_07-37,2019-04-02_07-38,2019-04-02_07-39,2019-04-02_07-40,2019-04-02_07-41,2019-04-02_07-42,2019-04-02_07-43,2019-04-02_07-44,2019-04-02_07-45,2019-04-02_07-46,2019-04-02_07-47,2019-04-02_07-48,2019-04-02_07-49,2019-04-02_07-50,2019-04-02_07-51,2019-04-02_07-52,2019-04-02_07-53,2019-04-02_07-54,2019-04-02_07-55,2019-04-02_07-56,2019-04-02_07-57,2019-04-02_07-58,2019-04-02_07-59,2019-04-02_08-00,2019-04-02_08-01,2019-04-02_08-02,2019-04-02_08-03,2019-04-02_08-04,2019-04-02_08-05,2019-04-02_08-06,2019-04-02_08-07,2019-04-02_08-08,2019-04-02_08-09,2019-04-02_08-10,2019-04-02_08-11,2019-04-02_08-12,2019-04-02_08-13,2019-04-02_08-14,2019-04-02_08-15,2019-04-02_08-16,2019-04-02_08-17,2019-04-02_08-18,2019-04-02_08-19,2019-04-02_08-20,2019-04-02_08-21,2019-04-02_08-22,2019-04-02_08-23,2019-04-02_08-24,2019-04-02_08-25,2019-04-02_08-26,2019-04-02_08-27,2019-04-02_08-28,2019-04-02_08-29,2019-04-02_08-30,2019-04-02_08-31,2019-04-02_08-32,2019-04-02_08-33,2019-04-02_08-34,2019-04-02_08-35,2019-04-02_08-36,2019-04-02_08-37,2019-04-02_08-38,2019-04-02_08-39
116.389463-39.905922,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,40,40,40,20,40,40,60,60,60,60,40,40,40,40,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
116.393215-39.906061,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,40,40,40,20,40,40,40,40,40,40,40,40,60,60,40,40,60,60,40,60,60,60,60,40,40,40,40,40,20,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
116.364048-39.985918,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
116.366048-39.985965,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
116.366627-39.985972,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
116.370367-39.986053,20,20,20,40,40,40,20,20,20,40,40,40,40,40,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
116.371543-39.986112,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,40,40,40,40,40,40,40,60,60,60,60,60,60,60,60,60,60,60,60,60,40,40,40,40,40,60,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
116.402049-39.947601,60,60,60,60,60,60,60,60,60,60,60,60,60,60,40,40,40,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
116.405394-39.947661,40,60,60,60,60,60,60,60,60,60,60,60,40,40,40,40,40,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
116.394498-39.947663,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,40,40,40,40,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
116.391965-39.947641,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,40,40,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
116.484203-39.932397,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
116.485476-39.932418,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
