lonlat,2019-04-02_07-30,2019-04-02_07-31
"116.395703,39.907322",20,20
"116.399457,39.907463",20,20
"116.370268,39.987296",20,20
"116.372271,39.987345",20,20
"116.372851,39.987353",20,20
"116.376597,39.987439",20,20
"116.377774,39.9875",60,60
"116.408298,39.949007",60,60
"116.411642,39.949066",40,60
"116.400746,39.949067",60,60
"116.398212,39.949044",60,60
"116.490272,39.933666",40,40
"116.491541,39.933683",20,20
"116.492948,39.93374",20,20
"116.494267,39.93393",20,20
"116.495228,39.934156",20,20
"116.501929,39.936041",20,20
"116.426104,39.96932",20,20
"116.431238,39.969452",60,60
"116.489788,39.91642",40,40
"116.489774,39.912541",60,60
"116.489793,39.910297",60,60
"116.308245,39.830645",20,20
"116.275342,39.928871",40,40
"116.275185,39.930818",40,40
"116.274929,39.932831",40,40
"116.404086,39.968873",40,40
"116.349791,39.967708",20,20
"116.349322,39.967702",20,20
"116.349124,39.9677",20,20
"116.348437,39.967692",20,20
"116.309909,39.94514",20,20
"116.318514,39.856086",20,20
"116.319044,39.855505",40,40
"116.387621,39.857083",40,40
"116.38858,39.857089",40,40
"116.4325,39.970006",20,20
"116.432363,39.970182",20,20
"116.432282,39.970308",20,20
"116.432204,39.970453",20,20
"116.432188,39.970618",20,20
"116.432217,39.970856",20,20
"116.432281,39.971144",20,20
"116.432353,39.9714",20,20
"116.432438,39.971594",20,20
"116.432535,39.971763",20,20
"116.495935,39.915617",20,20
"116.461647,39.926838",40,40
"116.461615,39.924458",40,40
"116.461609,39.918246",60,60
"116.461801,39.914536",40,40
"116.461673,39.89847",20,20
"116.4618,39.90275",20,20
"116.461803,39.90569",20,20
"116.461845,39.906716",20,20
"116.46186,39.907084",40,40
"116.461972,39.909648",40,40
"116.461972,39.910918",60,60
"116.461973,39.912197",60,60
"116.461095,39.908455",20,20
"116.461961,39.914538",40,40
"116.461827,39.916348",40,40
"116.35851,39.944356",20,20
"116.359994,39.944781",40,40
"116.36023,39.944846",40,40
"116.360955,39.94505",40,40
"116.361618,39.945229",40,40
"116.356277,39.944841",20,20
"116.356392,39.944946",20,20
"116.356537,39.945305",20,20
"116.355548,39.94161",20,20
"116.355495,39.94202",20,20
"116.35556,39.942556",20,20
"116.356086,39.943472",20,20
"116.356168,39.943669",20,20
"116.356233,39.944128",40,40
"116.457944,39.908333",20,20
"116.458541,39.908177",20,20
"116.353172,39.898215",60,60
"116.354298,39.898272",60,60
"116.354817,39.898342",60,60
"116.355699,39.898667",60,60
"116.356065,39.898899",60,60
"116.356317,39.899128",60,60
"116.356529,39.899387",20,20
"116.356744,39.899793",60,60
"116.356834,39.900113",60,60
"116.356892,39.90052",60,60
"116.356852,39.901629",60,60
"116.417135,39.933562",20,20
"116.417225,39.933565",20,20
"116.43418,39.924777",40,40
"116.43406,39.924764",40,40
"116.433909,39.924647",40,40
"116.433836,39.924521",40,40
"116.434147,39.943043",40,40
"116.434069,39.943179",40,40
"116.433978,39.943343",40,40
"116.475422,39.908197",20,20
"116.480905,39.908163",20,20
"116.632232,39.906519",20,20
"116.630706,39.906527",20,20
"116.6293,39.906473",20,20
"116.624223,39.906464",20,20
"116.461508,39.941391",20,20
"116.443787,39.933673",20,20
"116.447498,39.933666",20,20
"116.450344,39.93366",20,20
"116.450481,39.93366",20,20
"116.451117,39.933647",20,20
"116.451363,39.93365",20,20
"116.45225,39.933659",20,20
"116.452713,39.933663",20,20
"116.453316,39.933664",20,20
"116.455405,39.93367",20,20
"116.456598,39.933669",20,20
"116.457763,39.933669",20,20
"116.459549,39.93367",20,20
"116.460048,39.933671",20,20
"116.461467,39.933671",40,40
"116.450337,39.922844",20,20
"116.450336,39.922723",20,20
"116.450291,39.908741",20,20
"116.450296,39.908694",20,20
"116.587949,40.074163",20,20
"116.588415,40.076504",20,20
"116.311854,39.88518",20,20
"116.315001,39.886609",20,20
"116.315695,39.886897",20,20
"116.31649,39.88718",20,20
"116.317389,39.88751",40,40
"116.319982,39.888691",40,40
"116.320717,39.888965",40,40
"116.320996,39.889061",40,40
"116.321122,39.889104",40,40
"116.447112,39.962902",20,20
"116.447271,39.963046",20,20
"116.317834,39.975945",20,20
"116.407983,39.949521",60,60
"116.386596,40.009883",20,20
"116.38647,40.011361",20,20
"116.38156,40.019843",20,20
"116.351759,40.025206",20,20
"116.243435,40.073205",20,20
"116.243508,40.073058",20,20
"116.245167,40.070046",20,20
"116.247235,40.066596",20,20
"116.248681,40.064115",20,20
"116.249839,40.060964",20,20
"116.25132,40.057211",20,20
"116.252275,40.055942",20,20
"116.252827,40.055368",20,20
"116.253089,40.055095",20,20
"116.255409,40.052676",20,20
"116.257932,40.047607",20,20
"116.257943,40.047532",20,20
"116.258363,40.044529",20,20
"116.258547,40.044291",20,20
"116.259048,40.044077",20,20
"116.259686,40.043757",20,20
"116.260204,40.043409",20,20
"116.266329,40.038773",20,20
"116.267442,40.037932",20,20
"116.27148,40.033851",20,20
"116.329383,40.021145",20,20
"116.331885,40.021954",20,20
"116.33268,40.022213",20,20
"116.333591,40.022486",20,20
"116.334334,40.022669",20,20
"116.334975,40.02284",20,20
"116.335682,40.02296",20,20
"116.336867,40.023078",20,20
"116.337888,40.023144",20,20
"116.338664,40.023149",20,20
"116.340314,40.023142",20,20
"116.342209,40.023041",20,20
"116.347235,40.02305",20,20
"116.355931,40.020396",40,20
"116.355714,40.02094",40,40
"116.579621,40.042869",20,20
"116.581516,40.044878",20,20
"116.58209,40.045349",20,20
"116.584126,40.047128",20,20
"116.585069,40.047804",20,20
"116.585311,40.047977",20,20
"116.357125,40.022945",20,20
"116.360474,40.022936",20,20
"116.362064,40.022915",20,20
"116.36219,40.022914",20,20
"116.365341,40.022851",20,20
"116.369005,40.02281",20,20
"116.371905,40.022785",20,20
"116.325496,39.940836",20,20
"116.370116,39.967632",40,40
"116.353428,39.976455",20,20
"116.354309,39.97646",40,40
"116.43549,39.976881",20,20
"116.510386,39.988094",20,20
"116.508848,39.989941",20,20
"116.507795,39.991262",20,20
"116.50436,39.994854",20,20
"116.502785,39.996458",20,20
"116.501319,39.997952",20,20
"116.427973,39.89335",20,20
"116.4279,39.893493",40,40
"116.351072,39.898237",60,60
"116.347037,39.898006",20,20
"116.346767,39.897956",20,20
"116.285949,39.897023",20,20
"116.234227,39.850533",60,60
"116.231222,39.848948",60,60
"116.310807,40.036229",40,40
"116.311374,40.036373",40,40
"116.489858,39.891452",40,40
"116.48997,39.896997",40,40
"116.489989,39.904075",40,60
"116.490139,39.904982",20,20
"116.490176,39.905606",60,60
"116.490224,39.905887",60,60
"116.544151,39.91021",60,60
"116.544549,39.907669",60,60
"116.545027,39.905144",60,60
"116.545988,39.900368",60,60
"116.537104,39.840803",20,20
"116.535148,39.839345",20,20
"116.527293,39.801306",20,20
"116.504331,40.00295",40,40
"116.503595,40.00256",20,20
"116.502765,40.002053",20,20
"116.459274,40.015453",60,60
"116.458679,40.015565",60,60
"116.458155,40.015681",60,60
"116.447702,40.018594",60,60
"116.451444,40.017384",60,60
"116.452129,40.017121",60,60
"116.452689,40.016836",60,60
"116.453231,40.017112",60,60
"116.450974,40.017808",60,60
"116.447805,40.018748",60,60
"116.44331,40.020114",20,20
"116.440436,40.020924",20,20
"116.454234,40.010565",40,40
"116.454714,40.011568",20,20
"116.455064,40.012566",20,20
"116.455341,40.013196",20,20
"116.45564,40.013654",20,20
"116.458753,40.015136",60,60
"116.459485,40.015526",60,60
"116.459006,40.015705",60,60
"116.458689,40.015915",60,60
"116.458422,40.016201",60,60
"116.457236,40.018013",20,20
"116.357861,40.023195",60,60
"116.357405,40.023269",60,60
"116.429379,39.803751",20,20
"116.430054,39.803752",20,20
"116.355748,39.928156",40,40
"116.355828,39.928156",40,40
"116.357451,39.940529",60,60
"116.351875,40.024638",20,20
"116.351295,40.023605",60,20
"116.351047,40.023469",60,20
"116.350684,40.023336",60,20
"116.350377,40.023278",60,20
"116.349974,40.023257",60,20
"116.347313,40.023271",40,40
"116.3468,40.023319",40,40
"116.349522,40.023028",20,20
"116.350255,40.022944",20,20
"116.35065,40.022887",20,20
"116.351134,40.022762",20,20
"116.354356,40.021372",20,20
"116.354672,40.021184",20,20
"116.35499,40.020966",20,20
"116.355308,40.020694",20,20
"116.354917,40.021717",40,40
"116.354542,40.022508",20,20
"116.352229,40.022404",20,20
"116.354029,40.021821",20,20
"116.35444,40.02172",20,20
"116.35488,40.021686",40,40
"116.355213,40.021704",40,40
"116.444197,39.89494",40,40
"116.444122,39.897233",60,60
"116.444103,39.897403",60,60
"116.444058,39.897618",60,60
"116.443975,39.897827",60,60
"116.443856,39.898006",60,60
"116.354555,39.95812",60,60
"116.382559,39.949043",60,60
"116.382255,39.94911",60,60
"116.381977,39.949158",60,60
"116.381744,39.949222",60,60
"116.381541,39.94928",60,60
"116.381344,39.949366",60,60
"116.545986,40.057554",20,20
"116.546758,40.057932",20,20
"116.547671,40.058422",20,20
"116.548153,40.058717",20,20
"116.548688,40.059133",20,20
"116.552712,40.062513",20,20
"116.553182,40.062944",20,20
"116.553551,40.063353",20,20
"116.554406,40.064495",20,20
"116.554827,40.065281",20,20
"116.5549,40.06542",20,20
"116.554965,40.065554",20,20
"116.555002,40.065663",20,20
"116.555267,40.066454",20,20
"116.555375,40.066926",20,20
"116.555488,40.067519",20,20
"116.5561,40.071223",20,20
"116.557159,40.077633",20,20
"116.557303,40.078498",20,20
"116.557745,40.081171",20,20
"116.557999,40.082706",20,20
"116.559445,40.091582",20,20
"116.559495,40.091882",20,20
"116.559536,40.092132",20,20
"116.560934,40.100569",20,20
"116.434085,39.924125",40,40
"116.434142,39.923964",20,20
"116.434145,39.923918",20,20
"116.434218,39.922804",40,40
"116.43433,39.922452",40,40
"116.434404,39.922219",40,40
"116.292976,39.998934",20,20
"116.292876,39.999093",20,20
"116.311982,40.07627",20,20
"116.314202,40.073566",20,20
"116.313982,40.073514",20,20
"116.312432,40.075506",20,20
"116.312604,40.075548",20,20
"116.312768,40.075539",20,20
"116.413903,40.089242",20,20
"116.41379,40.089236",20,20
"116.302513,40.089079",20,20
"116.297976,40.095194",20,20
"116.293656,40.100779",20,20
"116.292908,40.101985",20,20
"116.291824,40.103912",20,20
"116.291358,40.104562",20,20
"116.290939,40.105089",20,20
"116.290447,40.105606",20,20
"116.289948,40.106065",20,20
"116.289215,40.106611",20,20
"116.283626,40.110759",20,20
"116.434655,39.91565",20,20
"116.434475,39.915649",20,20
"116.478289,39.842531",20,20
"116.478045,39.842747",20,20
"116.477422,39.843333",20,20
"116.356257,39.932407",20,20
"116.356201,39.932406",20,20
"116.35607,39.932408",20,20
"116.295606,39.993869",20,20
"116.295896,39.993434",20,20
"116.296246,39.99307",40,40
"116.298948,39.990764",20,20
"116.299364,39.989502",60,60
"116.312558,39.86789",20,20
